id,Brand,Model,Width,Height,Length
69,Ferrari,Portofino,1938,1318,4586
70,Ferrari,F8 Tributo,1979,1206,4611
71,Ferrari,GTC4 Lusso,1980,1383,4922
72,Ferrari,812,1971,1276,4657
73,Rolls,Royce Wraith,1947,1507,5281
74,Rolls,Royce Dawn,1947,1502,5285
75,Rolls,Royce Cullinan,2000,1835,5341
76,Rolls,Royce Phantom VIII,2018,1648,5770
77,Lamborghini,Urus,2181,1638,5112
78,Lamborghini,Huracan,1933,1165,4520
79,Maserati,Ghibli,1945,1461,4971
80,Maserati,Levante,1968,1679,5003
81,Maserati,Quattroporte,1948,1481,5262
82,Maserati,GranTurismo,1915,1380,4920
83,Maserati,GranCabrio,1915,1353,4881
84,Bentley,Bentayga,2222,1728,5125
85,Bentley,Cooper,1727,1414,3850
85,Bentley,MINI Cooper Countryman,1822,1557,4299
87,Bentley,MINI Cooper Convertible,1727,1415,3821
88,Bentley,MINI Cooper Clubman,1727,1414,3850
89,Toyota,Glanza,1745,1510,3995
90,Toyota,Urban Cruiser,1790,1640,3995
91,Toyota,Yaris,1730,1495,4425
92,Toyota,Innova Crysta,1830,1795,4735
93,Toyota,Fortuner,1855,1835,4795
94,Toyota,Camry,1840,1455,4885
95,Toyota,Vellfire,1850,1895,4935
96,MG,Hector,1835,1760,4655
97,MG,Hector Plus,1835,1760,4720
98,MG,ZS EV,1809,1620,4314
99,MG,Gloster,1926,1867,4985
100,Honda,Amaze,1695,1498,3995
101,Honda,Jazz,1694,1544,3989
102,Honda,WR-V,1734,1601,3999
103,Honda,City,1695,1495,4440
104,Honda,All New City,1748,1489,4549
105,Jeep,Compass,1818,1640,4405
106,Jeep,Wrangler,1894,1848,4882
107,Kia,Sonet,1790,1647,3995
108,Kia,Seltos,1800,1645,4315
109,Kia,Carnival,1985,1740,5115
110,Hyundai,Santro,1645,1560,3610
111,Hyundai,Grand i10 Nios,1680,1520,3805
112,Hyundai,Aura,1680,1520,3995
113,Hyundai,i20,1775,1505,3995
114,Hyundai,Venue,1770,1590,3995
115,Hyundai,Verna,1729,1475,4440
116,Hyundai,Creta,1790,1635,4300
117,Hyundai,Elantra,1800,1465,4620
118,Hyundai,Tucson,1850,1660,4480
119,Hyundai,Kona Electric,1800,1570,4180
120,Volkswagen,Polo,1682,1469,3971
121,Volkswagen,Vento,1699,1467,4390
122,Volkswagen,T-Roc,1819,1573,4234
123,Volkswagen,Tiguan AllSpace,1839,1674,4701
124,Tata,Tiago,1647,1535,3746
125,Tata,Tigor,1677,1532,3993
126,Tata,Altroz,1755,1523,3990
127,Tata,Nexon,1811,1606,3993
128,Tata,Tigor EV,1677,1537,3992
129,Tata,Nexon EV,1811,1607,3994
130,Tata,Harrier,1894,1706,4598
131,Tata,Safari,1894,1786,4661
132,Mahindra,KUV100 NXT,1735,1655,3700
133,Mahindra,XUV300,1821,1627,3995
134,Mahindra,Bolero,1745,1880,3995
135,Mahindra,Thar,1820,1920,3985
136,Mahindra,Marazzo,1866,1774,4585
137,Mahindra,Scorpio,1820,1995,4456
138,Mahindra,XUV500,1890,1785,4585
139,Mahindra,Alturas G4,1960,1845,4850
140,Datsun,redi-GO,1574,1546,3435
141,Datsun,Go,1636,1507,3788
142,Datsun,GO Plus,1636,1507,3995
143,Nissan,Magnite,1758,1572,3994
144,Nissan,Kicks,1813,1669,4384
145,Nissan,GT-R,1895,1370,4710
146,Renault,Kwid,1579,1474,3731
147,Renault,Triber,1739,1643,3990
148,Renault,Kiger,1750,1600,3991
149,Renault,Duster,1822,1695,4360
150,Citroen,C5 Aircross,2099,1710,4500
151,Volkswagen,Virtus,1752,1507,4561
152,Volkswagen,Taigun,1760,1612,4221
153,Volkswagen,Tiguan,1839,1665,4509
154,Honda,Amaze,1695,1501,3995
155,Honda,City 5th Gen,1748,1489,4549
156,Honda,City e-HEV,1748,1489,4549
157,Honda,City 4th Gen,1695,1495,4440
158,Renault,Kiger,1750,1605,3991
159,Renault,Triber,1739,1643,3991
160,Renault,Kwid,1579,1490,3731
161,Citroen,C3,1733,1604,3981
162,Mahindra,Scorpio-N,1917,1857,4662
163,Mahindra,Scorpio Classic,1820,1995,4456
164,Mahindra,XUV 300,1821,1627,3995
165,Mahindra,XUV 700,1890,1755,4695
166,Mahindra,Thar AX OPT,1820,1844,3985
167,Mahindra,Thar LX,1855,1844,3985
168,Toyota,Fortuner Legender,1855,1835,4795
169,Toyota,Glanza,1745,1500,3990
170,Hyundai,i20 N-Line,1775,1505,3995
171,Hyundai,Tucson,1865,1665,4630
172,Hyundai,Venue,1770,1617,3995
173,Hyundai,Venue N-Line,1770,1617,3995
174,Hyundai,Alcazar,1790,1675,4500
175,Kia,Sonet,1790,1610,3995
176,Kia,Seltos,1800,1620,4315
177,Kia,Carens,1800,1708,4540
