u,v,highway,lanes,maxspeed,length,geometry
42422270,278608420,motorway_link,1,25,341.4762271531303,"LINESTRING (-74.0027542 40.7062566, -74.0024125 40.7064023, -74.0020616 40.7065909, -74.0019336 40.7066509, -74.0012238 40.7070022, -74.0011011 40.7070634, -74.0009847 40.7071221, -74.0003493 40.7074458, -74.0002898 40.7074794, -74.0002371 40.7075132, -74.0001893 40.7075495, -74.0001469 40.7075879, -74.0001056 40.7076356, -74.0000742 40.7076807, -74.0000509 40.7077273, -74.0000338 40.707774, -74.0000167 40.7078311, -74.0000081 40.70788, -74.0000062 40.7079367, -74.0000138 40.7079937, -74.0000239 40.708042, -74.0000478 40.7081161, -74.0000755 40.7081751, -74.0001093 40.7082374)"
42422270,42451465,motorway,1,40,866.9520057917429,"LINESTRING (-74.0027542 40.7062566, -74.0015567 40.706937, -74.001311 40.7070787, -74.0010614 40.7072112, -74.0007584 40.707364, -74.0004414 40.7075169, -74.0001744 40.7076453, -74.0000644 40.7077005, -73.9999595 40.7077531, -73.9998644 40.7078026, -73.9997755 40.7078507, -73.9996911 40.7078982, -73.9996007 40.7079508, -73.9991672 40.7082113, -73.9990791 40.7082626, -73.9989709 40.708323, -73.9988718 40.7083739, -73.9987646 40.7084285, -73.9986381 40.7084873, -73.9984959 40.7085505, -73.9983672 40.7086037, -73.9982408 40.7086527, -73.9980873 40.7087046, -73.997954 40.7087464, -73.9978401 40.7087785, -73.9977217 40.7088086, -73.9975633 40.7088448, -73.9974461 40.708867, -73.997334 40.7088865, -73.9972227 40.7089034, -73.9970914 40.7089222, -73.9942153 40.7093199, -73.9939807 40.7093422, -73.9935802 40.7093658)"
42422283,42433229,primary,4,25,101.19204319509305,"LINESTRING (-74.001657 40.7094916, -74.0017349 40.7094289, -74.0018086 40.7093738, -74.001981 40.7092417, -74.0021248 40.7091344, -74.0024522 40.7088867, -74.002503 40.708846)"
42422283,278609934,primary,4,25,15.531182321826895,"LINESTRING (-74.001657 40.7094916, -74.001619 40.7095243, -74.0015788 40.7095666, -74.0015481 40.7096039)"
42422283,4158673495,secondary,2,25,158.85936957954533,"LINESTRING (-74.001657 40.7094916, -74.0017841 40.7095851, -74.001996 40.7097517, -74.0021938 40.7099073, -74.0023784 40.7100525, -74.0024423 40.7101038, -74.0029673 40.7105184)"
42422283,5378284711,secondary,1,25,105.23531166183136,"LINESTRING (-74.001657 40.7094916, -74.0016279 40.7094292, -74.0016012 40.7093954, -74.0008364 40.7087864)"
42423456,4602414021,primary,4,25,3.4209283867246967,
42423456,42423514,motorway_link,1,25,116.8619671073027,"LINESTRING (-74.006113 40.7237914, -74.0062086 40.7238214, -74.006236 40.7238285, -74.0063345 40.7238605, -74.0064171 40.7238895, -74.0064737 40.723915, -74.0065517 40.7239532, -74.0066205 40.7239903, -74.006655 40.7240118, -74.0066726 40.7240228, -74.0067141 40.7240513, -74.00672 40.7240553, -74.0067766 40.7240993, -74.0068225 40.7241411, -74.0068913 40.7242106, -74.0069219 40.7242489, -74.0069525 40.7242941, -74.0069755 40.7243358, -74.0069877 40.7243799, -74.007029 40.724504)"
42424258,42424408,motorway_link,1,25,132.80887823176622,"LINESTRING (-74.0067668 40.7217241, -74.0068558 40.7217042, -74.0069206 40.7216951, -74.0069942 40.721687, -74.0070752 40.7216824, -74.00715 40.7216797, -74.0072196 40.7216817, -74.0075024 40.7217047, -74.007537 40.7217075, -74.0075982 40.7217143, -74.0076575 40.7217231, -74.0077166 40.7217372, -74.0077926 40.7217625, -74.0078801 40.7217957, -74.0079488 40.7218243, -74.0080186 40.7218562, -74.0080835 40.7218881, -74.0081278 40.7219113, -74.0081539 40.7219271, -74.0081938 40.7219567, -74.0082309 40.7219848)"
42424258,42424334,motorway,2,25,133.74905078839322,"LINESTRING (-74.0067668 40.7217241, -74.0068309 40.7216914, -74.0068965 40.7216642, -74.0069544 40.7216444, -74.0070259 40.7216296, -74.0070953 40.7216216, -74.0071716 40.7216172, -74.0073152 40.7216171, -74.0074637 40.7216178, -74.0075326 40.7216126, -74.0075986 40.721604, -74.0076552 40.7215909, -74.0077059 40.7215742, -74.0077582 40.7215516, -74.0078026 40.7215274, -74.0078471 40.7214979, -74.0078807 40.7214697, -74.007912 40.7214384, -74.0079363 40.721408, -74.0079546 40.7213785, -74.0079723 40.721345, -74.0079862 40.7213081, -74.0079952 40.7212674, -74.0079986 40.721233, -74.0079995 40.7211998)"
